channel_id,hazard,first_order_level,first_order,second_order_level,second_order,third_order_level,third_order,research_refs,guardrail
T001,FLOOD,1,facility inundation / modelled depth,2,production interruption; inventory/equipment exposure,3,revenue/cash-flow pressure; collateral impairment; bank credit risk,R001;R006;R013,Requires site elevation/floor level and asset/loan data before loss estimation.
T002,FLOOD,1,road/bridge inundation,2,worker access; inbound raw materials; outbound shipment disruption,3,delivery delay; buyer/supplier propagation; working-capital pressure,R006;R014,Route-level network analysis required; site flood alone is insufficient.
T003,EXTREME_RAIN,1,heavy rainfall days / short-duration accumulation,2,urban waterlogging; access disruption; drainage overload,3,downtime and logistics delay; cluster-level correlated interruption,R006;R014,Requires drainage/road/event data for local attribution.
T004,HEAT,1,extreme heat / humid-heat days,2,worker heat strain; absence/productivity pressure; cooling demand,3,unit-cost/delivery pressure; electricity demand; investment in adaptation,R007;R008;R009;R011,Exposure arithmetic allowed; productivity-loss coefficient requires sector/site calibration.
T005,DROUGHT_WATER,1,rainfall deficit / soil-moisture anomaly / baseline water stress,2,process-water scarcity; groundwater pumping/treatment pressure,3,OPEX/capex pressure; production constraint; location competitiveness,R013,Requires sector water-dependency and facility water-source data.
T006,CYCLONE,1,track/wind/storm exposure,2,facility/grid/road/port interruption,3,production/export delay; network propagation; insurance/credit exposure,R006;R010;R013,Track proximity alone is not site wind damage.
T007,SALINITY,1,surface/groundwater salinity,2,process-water treatment; corrosion; water-supply constraint,3,maintenance/OPEX; asset life; location competitiveness,R013,No national interpolated salinity loss model without validated observations.
T008,COMPOUND,1,sequential or coincident hazards,2,recovery capacity constrained by next hazard,3,longer interruption; adaptation failure; correlated portfolio losses,R006;R010,"Must be event/timeline based, not a generic compound-risk score."
T009,PORTFOLIO,1,multiple borrower/collateral locations exposed to same hazard footprint,2,correlated borrower stress,3,portfolio concentration; provisioning/capital sensitivity,R001;R002;R003;R004,Do not map hazard exposure directly to PD/LGD absent a governed model.
T010,INSURANCE,1,insured assets concentrated in same hazard footprint,2,simultaneous claims potential,3,accumulation/reinsurance/capacity pressure,R006,Exposure concentration is not an expected-loss estimate.
