query_id,name,unit_of_analysis,question,required_inputs,output,research_refs,guardrail
Q001,Factory heat pressure,factory,Which factories combine many extreme-heat days with large workforces?,days_tmax_gt_35c + worker_total,worker_heat_exposure_days,R007;R008;R011,"Exposure metric, not productivity loss."
Q002,Flood-exposed workforce,factory,How many workers are located at factories inside an RP100 inundation footprint?,flood_rp100_depth_m + worker_total,workers_at_rp100_inundated_site,R001;R013,"RP100 is modelled hazard footprint, not a forecast."
Q003,Logistics fragility,route,Which factory access routes have no flood-free alternative?,road graph + flood raster + origin/destination,route_redundancy / exposed_route_share,R006;R014,"Requires routing, not radial road counts alone."
Q004,Bank collateral concentration,portfolio,What share of collateral value/EAD is located in specified flood footprints?,loan EAD + collateral value + geocoded collateral + flood layers,ead_share_in_flood_footprint; collateral_share_in_flood_footprint,R001;R002;R003;R004,No automatic PD/LGD haircut.
Q005,Industrial cluster concentration,cluster,Are many factories and workers concentrated in the same hazard footprint?,factory points + workers + hazard footprint,factory_count; workers; exposed share by cluster,R006,"Report counts/shares and geometry, not a composite score."
Q006,Emerging heat exposure,district/upazila,Which industrial locations are not hottest today but show the fastest rise in heat exposure?,heat level + heat trend + factory/built-up data,level-trend matrix,R007;R011,Trend and level shown separately.
Q007,Industrial expansion into hazard,district/upazila,Is built-up/industrial development expanding inside flood or heat-exposed areas?,GHSL/land cover vintages + hazard footprint,builtup_change_inside_hazard,R005;R013,Requires comparable vintages and stable hazard definition.
Q008,Compound-event recovery risk,asset/cluster,Which sites experience sequential heat/flood/cyclone events within a defined recovery window?,hazard event timelines,compound_event_count; days_between_hazards,R010,No compound index; window must be explicit.
Q009,Investment-location comparison,site comparison,How do competing locations differ across each hazard dimension without arbitrary weights?,same-vintage hazard indicators,dimension-by-dimension comparison; Pareto dominance where applicable,R005,No overall winner unless user explicitly chooses weights/constraints; political rules do not apply here.
Q010,Research-sensitive signal,all,"Which analytical outputs rely on evidence that has been revised, retracted or downgraded?",research registry + lineage,evidence_status alerts,R012,Research status should invalidate/deprecate derived calibrations automatically.
