sector,hazard,relevance,mechanism,research_refs,required_site_fields,guardrail
RMG_WOVEN,Heat,HIGH_RELEVANCE,Labour-intensive production; Bangladesh factory heat research supports indoor heat-strain mechanism.,R0016;R0017,roof_type; ventilation; fan_coverage; hydration; shift_workers; operating_hours,Do not equate outdoor ERA5 temperature with indoor WBGT.
RMG_WOVEN,Flood,HIGH_RELEVANCE,"Site and road flooding can interrupt production, worker access and exports.",R0018;R0019,floor_elevation; inventory_value; route_to_port; alternative_routes,Need route and site-floor data before downtime/loss.
RMG_WOVEN,Water stress,CONDITIONAL,Material if washing/dyeing/wet processing occurs on site.,R0020,wet_processing_flag; water_source; water_use,Do not infer wet processing from 'woven' label.
RMG_COMPOSITE,Heat,HIGH_RELEVANCE,Labour-intensive integrated production; indoor thermal conditions and cooling adaptation matter.,R0016;R0017,roof_type; ventilation; fan_coverage; hydration; shift_workers; operating_hours,"Outdoor heat is hazard input, not indoor exposure measurement."
RMG_COMPOSITE,Water stress,CONDITIONAL_HIGH,"Composite textile operations may include water-intensive processing, but this must be confirmed site-by-site.",R0020,wet_processing_flag; dyeing_flag; water_source; water_use; treatment_capacity,No assumption that this particular composite factory has wet processing.
RMG_COMPOSITE,Flood,HIGH_RELEVANCE,"Site, inventory, machinery and logistics may all be affected.",R0018;R0019,floor_elevation; machine_floor; inventory_floor; route_to_port,No damage coefficient without site data.
FOOTWEAR,Heat,MEDIUM_HIGH,Worker heat/ventilation may affect indoor conditions; process-specific exposure should be measured.,R0017,ventilation; shift_workers; operating_hours,No footwear-specific Bangladesh productivity coefficient currently approved.
FOOTWEAR,Water stress,CONDITIONAL,Relevance depends on whether leather processing/tanning or water-intensive finishing occurs on site.,R0021,tanning_on_site; wet_processing_flag; water_use; water_source,Footwear assembly must not be treated as tannery operations.
FOOTWEAR,Flood,HIGH_RELEVANCE,"Facility, material storage and road access can be disrupted.",R0018,floor_elevation; material_storage_floor; route_redundancy,Loss depends on inventory/equipment and floor level.
ALL_MANUFACTURING,Grid/cooling interaction,CONDITIONAL_HIGH,Extreme heat can increase cooling demand while power-system stress can constrain cooling resilience.,R0022,cooling_system; backup_power; peak_load; outage_history,Mechanism relevant; do not assume a site-specific outage probability.
ALL_EXPORTERS,Logistics,HIGH_RELEVANCE,Critical-corridor and port dependence can propagate local hazards into delivery/export disruption.,R0018;R0023,port_dependency; route_graph; alternate_route; shipment_schedule,"Route criticality must be computed, not inferred from distance alone."
